cpt_code,description,category,contrast
31553,Laryngoplasty laryngeal sten,Other,Unspecified
31554,Laryngoplasty laryngeal sten,Other,Unspecified
31560,Laryngoscop w/arytenoidectom,CT,Unspecified
31561,Larynscop remve cart + scop,Other,Unspecified
31570,Laryngoscope w/vc inj,Other,Unspecified
31571,Laryngoscop w/vc inj + scope,Other,Unspecified
31572,Largsc w/laser dstrj les,Other,Unspecified
31573,Largsc w/ther injection,CT,Unspecified
31574,Largsc w/njx augmentation,Other,Unspecified
31575,Diagnostic laryngoscopy,Other,Unspecified
31576,Laryngoscopy with biopsy,Other,Unspecified
31577,Largsc w/rmvl foreign bdy(s),Other,Unspecified
31578,Largsc w/removal lesion,Other,Unspecified
31579,Laryngoscopy telescopic,Other,Unspecified
31580,Laryngoplasty laryngeal web,Other,Unspecified
31584,Laryngoplasty fx rdctj fixj,CT,Unspecified
31587,Laryngoplasty cricoid split,Other,Unspecified
31590,Reinnervate larynx,Other,Unspecified
31591,Laryngoplasty medialization,Other,Unspecified
31592,Cricotracheal resection,CT,Unspecified
31599,Unlisted procedure larynx,Other,Unspecified
3160F,Doc fe+ stores b/4 epo thx,Other,Unspecified
31600,Planned tracheostomy,Other,Unspecified
31601,Planned tracheostomy<2 yrs,Other,Unspecified
31603,Emer tracheostomy ttrach,Other,Unspecified
31605,Emer tracheostomy cthyr mem,CT,Unspecified
31610,Tracheostomy fenest skin flp,Other,Unspecified
31611,Constj trachesophgl fstl,Other,Unspecified
31612,Perq trchl pnxr ttrach aspir,Other,Unspecified
31613,Tracheostoma revj simple,Other,Unspecified
31614,Tracheostoma revj complex,Other,Unspecified
31615,Trcheobrnchsc est trachs inc,Other,Unspecified
31622,Dx bronchoscope/wash,Other,Unspecified
31623,Dx bronchoscope/brush,Other,Unspecified
31624,Dx bronchoscope/lavage,Other,Unspecified
31625,Bronchoscopy w/biopsy(s),Other,Unspecified
31626,Bronchoscopy w/markers,Other,Unspecified
31627,Navigational bronchoscopy,Other,Unspecified
31628,Bronchoscopy/lung bx each,Other,Unspecified
31629,Bronchoscopy/needle bx each,Other,Unspecified
31630,Bronchoscopy dilate/fx repr,Other,Unspecified
31631,Bronchoscopy dilate w/stent,Other,Unspecified
31632,Bronchoscopy/lung bx addl,Other,Unspecified
31633,Bronchoscopy/needle bx addl,Other,Unspecified
31634,Bronch w/balloon occlusion,Other,Unspecified
31635,Bronchoscopy w/fb removal,Other,Unspecified
31636,Bronchoscopy bronch stents,Other,Unspecified
31637,Bronchoscopy stent add-on,Other,Unspecified
31638,Bronchoscopy revise stent,Other,Unspecified
31640,Bronchoscopy w/tumor excise,Other,Unspecified
31641,Bronchoscopy treat blockage,Other,Unspecified
31643,Diag bronchoscope/catheter,Other,Unspecified
31645,Brnchsc w/ther aspir 1st,Other,Unspecified
31646,Brnchsc w/ther aspir sbsq,Other,Unspecified
31647,Bronchial valve init insert,Other,Unspecified
31648,Bronchial valve remov init,Other,Unspecified
31649,Bronchial valve remov addl,Other,Unspecified
31651,Bronchial valve addl insert,Other,Unspecified
31652,Bronch ebus samplng 1/2 node,Other,Unspecified
31653,Bronch ebus samplng 3/> node,Other,Unspecified
31654,Bronch ebus ivntj perph les,Other,Unspecified
31660,Bronch thermoplsty 1 lobe,Other,Unspecified
31661,Bronch thermoplsty 2/> lobes,Other,Unspecified
3170F,Baselin flo cytometry b/4 tx,Other,Unspecified
31717,Bronchial brush biopsy,Other,Unspecified
31720,Clearance of airways,Other,Unspecified
31725,Clearance of airways,Other,Unspecified
31730,Intro windpipe wire/tube,Other,Unspecified
31750,Tracheoplasty cervical,Other,Unspecified
31755,Trachplsty trchphryngl fstlj,Other,Unspecified
31760,Tracheoplasty intrathoracic,Other,Unspecified
31766,Carinal reconstruction,CT,Unspecified
31770,Repair/graft of bronchus,Other,Unspecified
31775,Reconstruct bronchus,CT,Unspecified
31780,Reconstruct windpipe,CT,Unspecified
31781,Reconstruct windpipe,CT,Unspecified
31785,Remove windpipe lesion,Other,Unspecified
31786,Remove windpipe lesion,Other,Unspecified
31800,Repair of windpipe injury,Other,Unspecified
31805,Repair of windpipe injury,Other,Unspecified
31820,Closure of windpipe lesion,Other,Unspecified
31825,Repair of windpipe defect,CT,Unspecified
31830,Revise windpipe scar,Other,Unspecified
31899,Unlisted px trachea bronchi,Other,Unspecified
3200F,Barium swallow test not req,Other,Unspecified
32035,Thoracostomy w/rib resection,CT,Unspecified
32036,Thoracostomy w/flap drainage,Other,Unspecified
32096,Open wedge/bx lung infiltr,Other,Unspecified
32097,Open wedge/bx lung nodule,Other,Unspecified
32098,Open biopsy of lung pleura,Other,Unspecified
3210F,Grp a strep test performed,Other,Unspecified
32100,Exploration of chest,Other,Unspecified
32110,Explore/repair chest,Other,Unspecified
32120,Re-exploration of chest,Other,Unspecified
32124,Explore chest free adhesions,Other,Unspecified
32140,Removal of lung lesion(s),Other,Unspecified
32141,Remove/treat lung lesions,Other,Unspecified
3215F,Pt immunity to hep a docd,Other,Unspecified
32150,Removal of lung lesion(s),Other,Unspecified
32151,Remove lung foreign body,Other,Unspecified
3216F,Pt immunity to hep b docd,Other,Unspecified
32160,Open chest heart massage,Other,Unspecified
3218F,Rna tstng hep c docd done,Other,Unspecified
3220F,Hep c quant rna tstng docd,Other,Unspecified
32200,Drain open lung lesion,Other,Unspecified
32215,Treat chest lining,Other,Unspecified
32220,Release of lung,Other,Unspecified
32225,Partial release of lung,Other,Unspecified
3230F,Note hring tst w/in 6 mon,Other,Unspecified
32310,Removal of chest lining,Other,Unspecified
32320,Free/remove chest lining,Other,Unspecified
32400,Needle biopsy chest lining,Other,Unspecified
32408,Core ndl bx lng/med perq,Other,Unspecified
32440,Remove lung pneumonectomy,CT,Unspecified
32442,Sleeve pneumonectomy,CT,Unspecified
32445,Removal of lung extrapleural,Other,Unspecified
32480,Partial removal of lung,Other,Unspecified
32482,Bilobectomy,CT,Unspecified
32484,Segmentectomy,CT,Unspecified
32486,Sleeve lobectomy,CT,Unspecified
32488,Completion pneumonectomy,CT,Unspecified
32491,Lung volume reduction,CT,Unspecified
3250F,Nonprim loc anat bx site tum,Other,Unspecified
32501,Repair bronchus add-on,Other,Unspecified
32503,Resect apical lung tumor,CT,Unspecified
32504,Resect apical lung tum/chest,CT,Unspecified
32505,Wedge resect of lung initial,CT,Unspecified
32506,Wedge resect of lung add-on,CT,Unspecified
32507,Wedge resect of lung diag,CT,Unspecified
32540,Removal of lung lesion,Other,Unspecified
32550,Insert pleural cath,Other,Unspecified
32551,Insertion of chest tube,Other,Unspecified
32552,Remove lung catheter,Other,Unspecified
32553,Ins mark thor for rt perq,Other,Unspecified
32554,Aspirate pleura w/o imaging,Other,Unspecified
32555,Aspirate pleura w/ imaging,Other,Unspecified
32556,Insert cath pleura w/o image,Other,Unspecified
32557,Insert cath pleura w/ image,Other,Unspecified
32560,Treat pleurodesis w/agent,Other,Unspecified
32561,Lyse chest fibrin init day,Other,Unspecified
32562,Lyse chest fibrin subq day,Other,Unspecified
3260F,Pt cat/pn cat/hist grd docd,Other,Unspecified
32601,Thoracoscopy diagnostic,Other,Unspecified
32604,Thoracoscopy wbx sac,Other,Unspecified
32606,Thoracoscopy w/bx med space,Other,Unspecified
32607,Thoracoscopy w/bx infiltrate,Other,Unspecified
32608,Thoracoscopy w/bx nodule,Other,Unspecified
32609,Thoracoscopy w/bx pleura,Other,Unspecified
3265F,Rna tstng hepc vir ord/docd,Other,Unspecified
32650,Thoracoscopy w/pleurodesis,Other,Unspecified
32651,Thoracoscopy remove cortex,Other,Unspecified
32652,Thoracoscopy rem totl cortex,Other,Unspecified
32653,Thoracoscopy remov fb/fibrin,Other,Unspecified
32654,Thoracoscopy contrl bleeding,Other,Unspecified
32655,Thoracoscopy resect bullae,CT,Unspecified
32656,Thoracoscopy w/pleurectomy,CT,Unspecified
32658,Thoracoscopy w/sac fb remove,Other,Unspecified
32659,Thoracoscopy w/sac drainage,Other,Unspecified
3266F,Hepc gn tstng docd b/4txmnt,Other,Unspecified
32661,Thoracoscopy w/pericard exc,Other,Unspecified
32662,Thoracoscopy w/mediast exc,Other,Unspecified
32663,Thoracoscopy w/lobectomy,CT,Unspecified
32664,Thoracoscopy w/ th nrv exc,Other,Unspecified
32665,Thoracoscop w/esoph musc exc,Other,Unspecified
32666,Thoracoscopy w/wedge resect,CT,Unspecified
32667,Thoracoscopy w/w resect addl,CT,Unspecified
32668,Thoracoscopy w/w resect diag,CT,Unspecified
32669,Thoracoscopy remove segment,Other,Unspecified
3267F,Path rprt w/ pt pn cat et al,Other,Unspecified
32670,Thoracoscopy bilobectomy,CT,Unspecified
32671,Thoracoscopy pneumonectomy,CT,Unspecified
32672,Thoracoscopy for lvrs,Other,Unspecified
32673,Thoracoscopy w/thymus resect,CT,Unspecified
32674,Thoracoscopy lymph node exc,Other,Unspecified
3268F,Psa/t/glsc docd b/4 txmnt,Other,Unspecified
3269F,Bone scn b/4 txmnt/aftr dx,Other,Unspecified
3270F,No bone scn b/4 txmnt/aftrdx,Other,Unspecified
32701,Thorax stereo rad targetw/tx,Other,Unspecified
3271F,Low risk prostate cancer,Other,Unspecified
3272F,Med risk prostate cancer,Other,Unspecified
3273F,High risk prostate cancer,Other,Unspecified
3274F,Prost cncr rsk not lw/md/hgh,Other,Unspecified
3278F,Serum lvls ca/ipth/lpd ord,Other,Unspecified
3279F,Hgb lvl >= 13 g/dl,Other,Unspecified
3280F,Hgb lvl 11-12.9 g/dl,Other,Unspecified
32800,Repair lung hernia,Other,Unspecified
3281F,Hgb lvl <11 g/dl,Other,Unspecified
32810,Close chest after drainage,Other,Unspecified
32815,Close bronchial fistula,Other,Unspecified
32820,Reconstruct injured chest,CT,Unspecified
3284F,Iop red >=15% pre-ntrv lvl,Other,Unspecified
3285F,Iop down <15% of pre-svc lvl,Other,Unspecified
32850,Donor pneumonectomy,CT,Unspecified
32851,Lung transplant single,Other,Unspecified
32852,Lung transplant with bypass,Other,Unspecified
32853,Lung transplant double,Other,Unspecified
32854,Lung transplant with bypass,Other,Unspecified
32855,Prepare donor lung single,Other,Unspecified
32856,Prepare donor lung double,Other,Unspecified
3288F,Fall risk assessment docd,Other,Unspecified
3290F,Pt=d(rh)- and unsensitized,Other,Unspecified
32900,Removal of rib(s),Other,Unspecified
32905,Revise & repair chest wall,Other,Unspecified
32906,Revise & repair chest wall,Other,Unspecified
3291F,Pt=d(rh)+ or sensitized,Other,Unspecified
3292F,Hiv tstng asked/docd/revwd,Other,Unspecified
3293F,Abo rh blood typing docd,Other,Unspecified
3294F,Grp b strep screening docd,Other,Unspecified
32940,Revision of lung,Other,Unspecified
32960,Therapeutic pneumothorax,Other,Unspecified
32994,Ablate pulm tumor perq crybl,Other,Unspecified
32997,Total lung lavage,Other,Unspecified
32998,Ablate pulm tumor perq rf,Other,Unspecified
32999,Unlisted px lungs & pleura,Other,Unspecified
3300F,Ajcc stage docd b/4 thxpy,Other,Unspecified
3301F,Cancer stage docd metast,Other,Unspecified
33016,Pericardiocentesis w/imaging,Other,Unspecified
33017,Prcrd drg 6yr+ w/o cgen car,Other,Unspecified
33018,Prcrd drg 0-5yr or w/anomly,Other,Unspecified
33019,Perq prcrd drg insj cath ct,CT,Unspecified
33020,Incision of heart sac,Other,Unspecified
33025,Incision of heart sac,Other,Unspecified
33030,Partial removal of heart sac,Other,Unspecified
33031,Partial removal of heart sac,Other,Unspecified
33050,Resect heart sac lesion,CT,Unspecified
33120,Exc icar tum resc w/card byp,Other,Unspecified
33130,Rescj external cardiac tumor,Other,Unspecified
33140,Heart revascularize (tmr),Other,Unspecified
33141,Heart tmr w/other procedure,Other,Unspecified
3315F,Er+ or pr+ breast cancer,Other,Unspecified
3316F,Er- or pr- breast cancer,Other,Unspecified
3317F,Path rpt malig cancer docd,Other,Unspecified
3318F,Path rpt malig cancer docd,Other,Unspecified
3319F,X-ray/ct/ultrsnd et al ord,X-ray,Unspecified
3320F,No xray/ct/ et al ordd,X-ray,Unspecified
33202,Insert epicard eltrd open,Other,Unspecified
33203,Insert epicard eltrd endo,Other,Unspecified
33206,Insert heart pm atrial,Other,Unspecified
33207,Insert heart pm ventricular,Other,Unspecified
33208,Insrt heart pm atrial & vent,Other,Unspecified
3321F,Ajcc cncr 0/ia melan docd,Other,Unspecified
33210,Insert electrd/pm cath sngl,CT,Unspecified
33211,Insert card electrodes dual,CT,Unspecified
33212,Insert pulse gen sngl lead,Other,Unspecified
33213,Insert pulse gen dual leads,Other,Unspecified
33214,Upgrade of pacemaker system,Other,Unspecified
33215,Reposition pacing-defib lead,Other,Unspecified
33216,Insert 1 electrode pm-defib,CT,Unspecified
33217,Insert 2 electrode pm-defib,CT,Unspecified
33218,Repair lead pace-defib one,Other,Unspecified
3322F,Melanomaajcc stage 0 or ia,Other,Unspecified
33220,Repair lead pace-defib dual,Other,Unspecified
33221,Insert pulse gen mult leads,Other,Unspecified
33222,Relocation pocket pacemaker,Other,Unspecified
33223,Relocate pocket for defib,Other,Unspecified
33224,Insert pacing lead & connect,CT,Unspecified
33225,L ventric pacing lead add-on,Other,Unspecified
33226,Reposition l ventric lead,Other,Unspecified
33227,Remove&replace pm gen singl,Other,Unspecified
33228,Remv&replc pm gen dual lead,Other,Unspecified
33229,Remv&replc pm gen mult leads,Other,Unspecified
3323F,Clin node stgng docdb/4 surg,Other,Unspecified
33230,Insrt pulse gen w/dual leads,Other,Unspecified
33231,Insrt pulse gen w/mult leads,Other,Unspecified
33233,Removal of pm generator,Other,Unspecified
33234,Removal of pacemaker system,Other,Unspecified
33235,Removal pacemaker electrode,CT,Unspecified
33236,Remove electrode/thoracotomy,CT,Unspecified
33237,Remove electrode/thoracotomy,CT,Unspecified
33238,Remove electrode/thoracotomy,CT,Unspecified
3324F,Mri ct scan ord rvwd rqstd,MRI,Unspecified
33240,Insrt pulse gen w/singl lead,Other,Unspecified
33241,Remove pulse generator,Other,Unspecified
33243,Remove eltrd/thoracotomy,Other,Unspecified
33244,Remove elctrd transvenously,CT,Unspecified
33249,Insj/rplcmt defib w/lead(s),Other,Unspecified
3325F,Preop asses 4 cataract surg,CT,Unspecified
33250,Ablate heart dysrhythm focus,Other,Unspecified
33251,Ablate heart dysrhythm focus,Other,Unspecified
33254,Ablate atria lmtd,Other,Unspecified
33255,Ablate atria w/o bypass ext,Other,Unspecified
33256,Ablate atria w/bypass exten,Other,Unspecified
33257,Ablate atria lmtd add-on,Other,Unspecified
33258,Ablate atria x10sv add-on,Other,Unspecified
33259,Ablate atria w/bypass add-on,Other,Unspecified
33261,Ablate heart dysrhythm focus,Other,Unspecified
33262,Rmvl& replc pulse gen 1 lead,Other,Unspecified
33263,Rmvl & rplcmt dfb gen 2 lead,Other,Unspecified
33264,Rmvl & rplcmt dfb gen mlt ld,Other,Unspecified
33265,Ablate atria lmtd endo,Other,Unspecified
33266,Ablate atria x10sv endo,Other,Unspecified
33267,Excl laa open any method,Other,Unspecified
33268,Excl laa opn oth px any meth,Other,Unspecified
33269,Excl laa thrscp any method,Other,Unspecified
33270,Ins/rep subq defibrillator,Other,Unspecified
33271,Insj subq impltbl dfb elctrd,CT,Unspecified
33272,Rmvl of subq defibrillator,Other,Unspecified
33273,Repos prev impltbl subq dfb,Other,Unspecified
33274,Tcat insj/rpl perm ldls pm,Other,Unspecified
33275,Tcat rmvl perm ldls pm w/img,Other,Unspecified
33276,Insj phrnc nrv stim sys,Other,Unspecified
33277,Insj phrnc nrv stim transvns,Other,Unspecified
33278,Rmvl phrnc nrv stim sys,Other,Unspecified
33279,Rmvl phrnc nrv stim transvns,Other,Unspecified
3328F,Prfrmnc docd 2 wks b/4 surg,Other,Unspecified
33280,Rmvl phrnc nrv stim pg only,Other,Unspecified
33281,Reposg phrnc nrv stim trnsvn,Other,Unspecified
33285,Insj subq car rhythm mntr,Other,Unspecified
33286,Rmvl subq car rhythm mntr,Other,Unspecified
33287,Rmv&rplcmt phrnc nrv stim pg,Other,Unspecified
33288,Rmv&rplcmt phrnc nrv stim ld,Other,Unspecified
33289,Tcat impl wrls p-art prs snr,Other,Unspecified
3330F,Imaging study ordered (bkp),Other,Unspecified
33300,Repair of heart wound,Other,Unspecified
33305,Repair of heart wound,Other,Unspecified
3331F,Bk imaging tst not ordered,Other,Unspecified
33310,Exploratory heart surgery,Other,Unspecified
33315,Exploratory heart surgery,Other,Unspecified
33320,Repair major blood vessel(s),Other,Unspecified
33321,Repair major vessel,Other,Unspecified
33322,Repair major blood vessel(s),Other,Unspecified
33330,Insert major vessel graft,Other,Unspecified
33335,Insert major vessel graft,Other,Unspecified
33340,Perq clsr tcat l atr apndge,Other,Unspecified
33361,Replace aortic valve perq,Other,Unspecified
33362,Replace aortic valve open,Other,Unspecified
33363,Replace aortic valve open,Other,Unspecified
33364,Replace aortic valve open,Other,Unspecified
33365,Replace aortic valve open,Other,Unspecified
33366,Trcath replace aortic valve,Other,Unspecified
33367,Replace aortic valve w/byp,Other,Unspecified
33368,Replace aortic valve w/byp,Other,Unspecified
33369,Replace aortic valve w/byp,Other,Unspecified
33370,Tcat plmt&rmvl cepd perq,Other,Unspecified
33390,Valvuloplasty aortic valve,Other,Unspecified
33391,Valvuloplasty aortic valve,Other,Unspecified
3340F,Mammo assess inc xray docd,X-ray,Unspecified
33404,Prepare heart-aorta conduit,Other,Unspecified
33405,Replacement aortic valve opn,Other,Unspecified
33406,Replacement aortic valve opn,Other,Unspecified
3341F,Mammo assess negative docd,Other,Unspecified
33410,Replacement aortic valve opn,Other,Unspecified
33411,Replacement of aortic valve,Other,Unspecified
33412,Replacement of aortic valve,Other,Unspecified
33413,Replacement of aortic valve,Other,Unspecified
33414,Repair of aortic valve,Other,Unspecified
33415,Revision subvalvular tissue,Other,Unspecified
33416,Revise ventricle muscle,Other,Unspecified
33417,Repair of aortic valve,Other,Unspecified
33418,Repair tcat mitral valve,Other,Unspecified
33419,Repair tcat mitral valve,Other,Unspecified
3342F,Mammo assess bengn docd,Other,Unspecified
33420,Revision of mitral valve,Other,Unspecified
33422,Revision of mitral valve,Other,Unspecified
33425,Repair of mitral valve,Other,Unspecified
33426,Repair of mitral valve,Other,Unspecified
33427,Repair of mitral valve,Other,Unspecified
3343F,Mammo probably bengn docd,Other,Unspecified
33430,Replacement of mitral valve,Other,Unspecified
3344F,Mammo assess susp docd,Other,Unspecified
33440,Rplcmt a-valve tlcj autol pv,Other,Unspecified
3345F,Mammo assess hghlymalig doc,Other,Unspecified
33460,Revision of tricuspid valve,Other,Unspecified
33463,Valvuloplasty tricuspid,Other,Unspecified
33464,Valvuloplasty tricuspid,Other,Unspecified
33465,Replace tricuspid valve,Other,Unspecified
33468,Revision of tricuspid valve,Other,Unspecified
33474,Revision of pulmonary valve,Other,Unspecified
33475,Replacement pulmonary valve,Other,Unspecified
33476,Revision of heart chamber,Other,Unspecified
33477,Implant tcat pulm vlv perq,Other,Unspecified
33478,Revision of heart chamber,Other,Unspecified
33496,Repair prosth valve clot,Other,Unspecified
3350F,Mammo bx proven malig docd,Other,Unspecified
33500,Repair heart vessel fistula,Other,Unspecified
33501,Repair heart vessel fistula,Other,Unspecified
33502,Coronary artery correction,CT,Unspecified
33503,Coronary artery graft,Other,Unspecified
33504,Coronary artery graft,Other,Unspecified
33505,Repair artery w/tunnel,Other,Unspecified
33506,Repair artery translocation,Other,Unspecified
33507,Repair art intramural,Other,Unspecified
33508,Endoscopic vein harvest,Other,Unspecified
33509,Ndsc hrv uxtr art 1 sgm cab,Other,Unspecified
3351F,Neg scrn dep symp by deptool,Other,Unspecified
33510,Cabg vein single,Other,Unspecified
33511,Cabg vein two,Other,Unspecified
33512,Cabg vein three,Other,Unspecified
33513,Cabg vein four,Other,Unspecified
33514,Cabg vein five,Other,Unspecified
33516,Cabg vein six or more,Other,Unspecified
33517,Cabg artery-vein single,Other,Unspecified
33518,Cabg artery-vein two,Other,Unspecified
33519,Cabg artery-vein three,Other,Unspecified
3352F,No sig dep symp by dep tool,Other,Unspecified
33521,Cabg artery-vein four,Other,Unspecified
33522,Cabg artery-vein five,Other,Unspecified
33523,Cabg art-vein six or more,Other,Unspecified
3353F,Mild-mod dep symp by deptool,Other,Unspecified
33530,Coronary artery bypass/reop,Other,Unspecified
33533,Cabg arterial single,Other,Unspecified
33534,Cabg arterial two,Other,Unspecified
33535,Cabg arterial three,Other,Unspecified
33536,Cabg arterial four or more,Other,Unspecified
3354F,Clin sig dep sym by dep tool,Other,Unspecified
33542,Removal of heart lesion,Other,Unspecified
33545,Repair of heart damage,Other,Unspecified
33548,Restore/remodel ventricle,Other,Unspecified
33572,Open coronary endarterectomy,CT,Unspecified
33600,Closure of valve,Other,Unspecified
33602,Closure of valve,Other,Unspecified
33606,Anastomosis/artery-aorta,Other,Unspecified
33608,Repair anomaly w/conduit,Other,Unspecified
33610,Repair by enlargement,Other,Unspecified
33611,Repair double ventricle,Other,Unspecified
33612,Repair double ventricle,Other,Unspecified
33615,Repair modified fontan,Other,Unspecified
33617,Repair single ventricle,Other,Unspecified
33619,Repair single ventricle,Other,Unspecified
33620,Apply r&l pulm art bands,Other,Unspecified
33621,Transthor cath for stent,Other,Unspecified
33622,Redo compl cardiac anomaly,Other,Unspecified
33641,Repair heart septum defect,CT,Unspecified
33645,Revision of heart veins,Other,Unspecified
33647,Repair heart septum defects,CT,Unspecified
33660,Repair of heart defects,CT,Unspecified
33665,Repair of heart defects,CT,Unspecified
33670,Repair of heart chambers,Other,Unspecified
33675,Close mult vsd,Other,Unspecified
33676,Close mult vsd w/resection,CT,Unspecified
33677,Cl mult vsd w/rem pul band,Other,Unspecified
33681,Closure 1 vsd w/wo patch,Other,Unspecified
33684,Clsr 1 vsd w/wo patch w/vlvt,Other,Unspecified
33688,Clsr 1vsd w/wo ptch rmvl bnd,Other,Unspecified
33690,Banding pulmonary artery,Other,Unspecified
33692,Comp rpr tof wo pulm atresia,Other,Unspecified
33694,Cmp rpr tof wo plm atrs ptch,Other,Unspecified
33697,Compl rpr tof w/pulm atresia,Other,Unspecified
3370F,Ajcc brst cncr stage 0 docd,Other,Unspecified
33702,Repair of heart defects,CT,Unspecified
33710,Repair of heart defects,CT,Unspecified
3372F,Ajcc brst cncr stage 1 docd,Other,Unspecified
33720,Repair of heart defect,CT,Unspecified
33724,Repair venous anomaly,Other,Unspecified
33726,Repair pul venous stenosis,Other,Unspecified
33730,Repair heart-vein defect(s),CT,Unspecified
33732,Repair heart-vein defect,CT,Unspecified
33735,Revision of heart chamber,Other,Unspecified
33736,Revision of heart chamber,Other,Unspecified
3374F,Ajcc brst cncr stage 1 docd,Other,Unspecified
33741,Tas congenital car anomal,Other,Unspecified
33745,Tis cgen car anomal 1st shnt,Other,Unspecified
33746,Tis cgen car anomal ea addl,Other,Unspecified
33750,Shunt subclavian to pulm art,Other,Unspecified
33755,Shunt as-aort to pulm art,Other,Unspecified
3376F,Ajcc brstcncr stage 2 docd,Other,Unspecified
33762,Shunt desc aorta to pulm art,Other,Unspecified
33764,Shunt central w/prostc graft,Other,Unspecified
33766,Shunt supr v/c p-art 1 lung,Other,Unspecified
33767,Shunt supr v/c p-art bth lng,Other,Unspecified
33768,Anast cavopulm sec sup v/c,Other,Unspecified
33770,Rpr tga w/o surg enlgmnt vsd,Other,Unspecified
33771,Rpr tga w/surg enlgmnt vsd,Other,Unspecified
33774,Rpr tga atrial baffle px,Other,Unspecified
33775,Rpr tga atr bfl rmvl plm bnd,Other,Unspecified
33776,Rpr tga atr bfl clsr vsd,Other,Unspecified
33777,Rpr tga bfl rpr sbpulm obstr,Other,Unspecified
33778,Rpr tga aortic pulm art rcns,Other,Unspecified
33779,Rpr tga rcnstj rmvl plm bnd,Other,Unspecified
3378F,Ajcc brstcncr stage 3 docd,Other,Unspecified
33780,Rpr tga rcnstj clsr vsd,Other,Unspecified
33781,Rpr tga rcnstj rpr sbpl obst,Other,Unspecified
33782,Nikaidoh proc,Other,Unspecified
33783,Nikaidoh proc w/ostia implt,Other,Unspecified
33786,Repair arterial trunk,Other,Unspecified
33788,Revision of pulmonary artery,Other,Unspecified
3380F,Ajcc brstcncr stage 4 docd,Other,Unspecified
33800,Aortic suspension,Other,Unspecified
33802,Division aberrant vessel,Other,Unspecified
33803,Div aberrant vsl w/reanast,Other,Unspecified
33814,Obltrj a-pulm sep def w/byp,Other,Unspecified
3382F,Ajcc cln cncr stage 0 docd,Other,Unspecified
33820,Repair pda by ligation,Other,Unspecified
33822,Repair pda div<18 years,Other,Unspecified
33824,Repair pda div 18 yrs&older,Other,Unspecified
3384F,Ajcc cln cncr stage 1 docd,Other,Unspecified
33840,Exc coa w/direct anastomosis,CT,Unspecified
33845,Excision coa w/graft,Other,Unspecified
33851,Exc coa rpr l subcl art/prst,Other,Unspecified
33852,Rpr hypopl a-arch wo byp,Other,Unspecified
33853,Rpr hypopl a-arch w/byp,Other,Unspecified
33858,As-aort grf f/aortic dsj,Other,Unspecified
33859,As-aort grf f/ds oth/thn dsj,Other,Unspecified
3386F,Ajcc cln cncr stage 2 docd,Other,Unspecified
33863,Ascending aortic graft,Other,Unspecified
33864,Ascending aortic graft,Other,Unspecified
33866,Aortic hemiarch graft,Other,Unspecified
33871,Transvrs a-arch grf hypthrm,Other,Unspecified
33875,Thoracic aortic graft,Other,Unspecified
33877,Thoracoabdominal graft,Other,Unspecified
3388F,Ajcc cln cncr stage 3 docd,Other,Unspecified
33880,Endovasc taa repr incl subcl,Other,Unspecified
33881,Endovasc taa repr w/o subcl,Other,Unspecified
33883,Insert endovasc prosth taa,Other,Unspecified
33884,Endovasc prosth taa add-on,Other,Unspecified
33886,Endovasc prosth delayed,Other,Unspecified
33889,Artery transpose/endovas taa,Other,Unspecified
33891,Car-car bp grft/endovas taa,Other,Unspecified
33894,Evasc st rpr thrc/aa acrs br,Other,Unspecified
33895,Evasc st rpr thrc/aa x crsg,Other,Unspecified
33897,Perq trluml angp nt/recr coa,Other,Unspecified
3390F,Ajcc cln cncr stage 4 docd,Other,Unspecified
33900,Perq p-art revsc 1 nm nt uni,Other,Unspecified
33901,Perq p-art revsc 1 nm nt bi,Other,Unspecified
33902,Perq p-art revsc 1 abnor uni,Other,Unspecified
33903,Perq p-art revsc 1 abnor bi,Other,Unspecified
33904,Perq p-art revsc each addl,Other,Unspecified
33910,Remove lung artery emboli,Other,Unspecified
33915,Remove lung artery emboli,Other,Unspecified
33916,Surgery of great vessel,Other,Unspecified
33917,Repair pulmonary artery,Other,Unspecified
33920,Repair pulmonary atresia,Other,Unspecified
33922,Transect pulmonary artery,CT,Unspecified
33924,Remove pulmonary shunt,Other,Unspecified
33925,Rpr pul art unifocal w/o cpb,Other,Unspecified
33926,Repr pul art unifocal w/cpb,Other,Unspecified
33927,Impltj tot rplcmt hrt sys,Other,Unspecified
33928,Rmvl & rplcmt tot hrt sys,Other,Unspecified
33929,Rmvl rplcmt hrt sys f/trnspl,Other,Unspecified
33930,Removal of donor heart/lung,Other,Unspecified
33933,Prepare donor heart/lung,Other,Unspecified
33935,Transplantation heart/lung,Other,Unspecified
3394F,Quant her2 ihc eval brst cx,Other,Unspecified
33940,Removal of donor heart,Other,Unspecified
33944,Prepare donor heart,Other,Unspecified
33945,Transplantation of heart,Other,Unspecified
33946,Ecmo/ecls initiation venous,Other,Unspecified
33947,Ecmo/ecls initiation artery,Other,Unspecified
33948,Ecmo/ecls daily mgmt-venous,Other,Unspecified
33949,Ecmo/ecls daily mgmt artery,Other,Unspecified
3395F,Quant nonher2 ihc brst cx,Other,Unspecified
33951,Ecmo/ecls insj prph cannula,Other,Unspecified
33952,Ecmo/ecls insj prph cannula,Other,Unspecified
33953,Ecmo/ecls insj prph cannula,Other,Unspecified
33954,Ecmo/ecls insj prph cannula,Other,Unspecified
